Dataset: TEXAS
Anonymization Method: Pitman01
ASupression Limit: 1.0
Feature Type: ENSEMBLE
Classifier Type: RF
Number of Targets: 50
Target Type: OUTLIER
Number of Tests: 25
Number of Trainings: 10
Sample size: 1000
Adversary population size: 10000


TargetId;Distance;Accuracy
38912;0.31393561152113864;0.52
27137;0.644943458572841;0.76
13827;0.28722410705124185;0.52
27781;0.36934017694504423;0.64
20357;0.32892128668559234;0.56
14086;0.9360582050559753;1.0
47239;0.37946288076842044;0.52
36232;0.5617667676600505;0.76
26380;0.4717299615121115;0.66
16269;0.335306084377544;0.52
40590;0.2971550520825949;0.92
12048;0.4072192998371846;0.58
3472;0.36840538677377915;0.54
32784;0.27941054017807904;0.54
13588;0.3105762256149582;0.52
21143;0.38431019361869334;0.54
37530;0.357626166002457;0.58
27036;0.39252715219666434;0.56
28704;0.4591645041924745;0.56
16417;0.30450106931129944;0.52
45090;0.914025073776776;1.0
27428;0.37692214734379065;0.96
31655;0.37756331015129085;0.68
32679;0.3267016026836715;0.6
20012;0.28876944790762327;0.52
11568;0.29918849771587674;0.52
38324;0.31226889442214206;0.54
36916;0.2970502178439263;0.54
6713;0.3488586172059554;0.96
39609;0.32361492156126215;0.52
48315;0.805430134617418;0.88
39868;0.42375346469949604;0.7
41664;0.5150809604965846;0.72
42562;0.604950742205999;0.78
41800;0.7663528572764959;0.96
19401;0.5611562618001164;0.78
27596;0.8025405599953602;0.92
13646;0.7230312309665339;0.72
29265;1.0;0.92
13907;0.5158353754103344;0.72
31834;0.37356396095861033;0.62
42588;0.4297434342986099;0.56
40930;0.2774676801695187;0.86
26213;0.3375971850690989;0.58
6249;0.3102597961854848;0.88
38890;0.3989328608230543;0.6
36082;0.4152631015207531;0.66
27379;0.29233528538144676;0.58
30709;0.28062409974783;0.86
34431;0.3322333311940071;0.64
